#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description,
1016,CVE-2017-7243,476,,DoS,2017-03-24,2017-03-31,5,None,Remote,Low,Not required,None,None,Partial,"Eclipse tinydtls 0.8.2 for Eclipse IoT allows remote attackers to cause a denial of service (DTLS peer crash) by sending a ""Change cipher spec"" packet without pre-handshake.",
1103,CVE-2016-10129,476,,DoS,2017-03-24,2017-03-28,5,None,Remote,Low,Not required,None,None,Partial,The Git Smart Protocol support in libgit2 before 0.24.6 and 0.25.x before 0.25.1 allows remote attackers to cause a denial of service (NULL pointer dereference) via an empty packet line.,
1102,CVE-2016-10132,476,,DoS,2017-03-24,2017-03-27,5,None,Remote,Low,Not required,None,None,Partial,regexp.c in Artifex Software,
1135,CVE-2016-9049,476,,,2017-02-21,2017-03-02,5,None,Remote,Low,Not required,None,None,Partial,An exploitable denial-of-service vulnerability exists in the fabric-worker component of Aerospike Database Server 3.10.0.3. A specially crafted packet can cause the server process to dereference a null pointer. An attacker can simply connect to a TCP port in order to trigger this vulnerability.,
1173,CVE-2016-6866,476,,Bypass,2017-02-15,2017-02-17,5,None,Remote,Low,Not required,None,None,Partial,slock allows attackers to bypass the screen lock via vectors involving an invalid password hash,
1129,CVE-2016-9296,476,,DoS,2016-11-12,2016-11-29,5,None,Remote,Low,Not required,None,None,Partial,A null pointer dereference bug affects the 16.02 and many old versions of p7zip. A lack of null pointer check for the variable folders.PackPositions in function CInArchive::ReadAndDecodePackedStreams in CPP/7zip/Archive/7z/7zIn.cpp,
347,CVE-2019-15218,476,,,2019-08-19,2021-06-14,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in the Linux kernel before 5.1.8. There is a NULL pointer dereference caused by a malicious USB device in the drivers/media/usb/siano/smsusb.c driver.,
70,CVE-2021-1078,476,,,2021-04-21,2021-05-03,4.9,None,Local,Low,Not required,None,None,Complete,NVIDIA Windows GPU Display Driver for Windows,
66,CVE-2021-3463,476,,,2021-04-13,2021-04-23,4.9,None,Local,Low,Not required,None,None,Complete,A null pointer dereference vulnerability in Lenovo Power Management Driver for Windows 10,
95,CVE-2020-29484,476,,DoS,2020-12-15,2021-03-16,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in Xen through 4.14.x. When a Xenstore watch fires,
117,CVE-2020-25639,476,,,2021-03-04,2021-03-10,4.9,None,Local,Low,Not required,None,None,Complete,A NULL pointer dereference flaw was found in the Linux kernel's GPU Nouveau driver functionality in versions prior to 5.12-rc1 in the way the user calls ioctl DRM_IOCTL_NOUVEAU_CHANNEL_ALLOC. This flaw allows a local user to crash the system.,
94,CVE-2020-29571,476,,DoS,2020-12-15,2021-03-09,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in Xen through 4.14.x. A bounds check common to most operation time functions specific to FIFO event channels depends on the CPU observing consistent state. While the producer side uses appropriately ordered writes,
40,CVE-2021-27203,476,,,2021-02-16,2021-02-22,4.9,None,Local,Low,Not required,None,None,Complete,In Dekart Private Disk 2.15,
53,CVE-2021-23883,476,,,2021-02-10,2021-02-12,4.9,None,Local,Low,Not required,None,None,Complete,A Null Pointer Dereference vulnerability in McAfee Endpoint Security (ENS) for Windows prior to 10.7.0 February 2021 Update allows a local administrator to cause Windows to crash via a specific system call which is not handled correctly. This varies by machine and had partial protection prior to this update.,
289,CVE-2019-19462,476,,DoS,2019-11-30,2021-01-29,4.9,None,Local,Low,Not required,None,None,Complete,relay_open in kernel/relay.c in the Linux kernel through 5.4.1 allows local users to cause a denial of service (such as relay blockage) by triggering a NULL alloc_percpu result.,
151,CVE-2020-15437,476,,DoS,2020-11-23,2020-12-02,4.9,None,Local,Low,Not required,None,None,Complete,The Linux kernel before version 5.8 is vulnerable to a NULL pointer dereference in drivers/tty/serial/8250/8250_core.c:serial8250_isa_init_ports() that allows local users to cause a denial of service by using the p->serial_in pointer which uninitialized.,
697,CVE-2018-10322,476,,DoS,2018-04-24,2020-10-16,4.9,None,Local,Low,Not required,None,None,Complete,The xfs_dinode_verify function in fs/xfs/libxfs/xfs_inode_buf.c in the Linux kernel through 4.16.3 allows local users to cause a denial of service (xfs_ilock_attr_map_shared invalid pointer dereference) via a crafted xfs image.,
122,CVE-2020-24385,476,,,2020-09-03,2020-09-11,4.9,None,Local,Low,Not required,None,None,Complete,In MidnightBSD before 1.2.6 and 1.3 before August 2020,
696,CVE-2018-10323,476,,DoS,2018-04-24,2020-09-08,4.9,None,Local,Low,Not required,None,None,Complete,The xfs_bmap_extents_to_btree function in fs/xfs/libxfs/xfs_bmap.c in the Linux kernel through 4.16.3 allows local users to cause a denial of service (xfs_bmapi_write NULL pointer dereference) via a crafted xfs image.,
1366,CVE-2009-2287,476,,DoS,2009-07-01,2020-08-19,4.9,None,Local,Low,Not required,None,None,Complete,The kvm_arch_vcpu_ioctl_set_sregs function in the KVM in Linux kernel 2.6 before 2.6.30,
1350,CVE-2010-3079,476,,DoS,2010-09-30,2020-08-13,4.9,None,Local,Low,Not required,None,None,Complete,kernel/trace/ftrace.c in the Linux kernel before 2.6.35.5,
1359,CVE-2010-1187,476,,DoS,2010-03-31,2020-08-13,4.9,None,Local,Low,Not required,None,None,Complete,The Transparent Inter-Process Communication (TIPC) functionality in Linux kernel 2.6.16-rc1 through 2.6.33,
1353,CVE-2010-2954,476,,DoS,2010-09-03,2020-08-06,4.9,None,Local,Low,Not required,None,None,Complete,The irda_bind function in net/irda/af_irda.c in the Linux kernel before 2.6.36-rc3-next-20100901 does not properly handle failure of the irda_open_tsap function,
199,CVE-2020-10600,476,,,2020-07-24,2020-08-05,4.9,None,Remote,Medium,???,None,Partial,Partial,An authenticated remote attacker could crash PI Archive Subsystem when the subsystem is working under memory pressure. This can result in blocking queries to PI Data Archive (2018 SP2 and prior versions).,
1338,CVE-2011-1076,476,,DoS,2011-10-05,2020-08-03,4.9,None,Local,Low,Not required,None,None,Complete,net/dns_resolver/dns_key.c in the Linux kernel before 2.6.38 allows remote DNS servers to cause a denial of service (NULL pointer dereference and OOPS) by not providing a valid response to a DNS query,
1322,CVE-2011-2928,476,,DoS,2011-08-29,2020-07-31,4.9,None,Local,Low,Not required,None,None,Complete,The befs_follow_link function in fs/befs/linuxvfs.c in the Linux kernel before 3.1-rc3 does not validate the length attribute of long symlinks,
1332,CVE-2011-1748,476,,DoS,2011-05-09,2020-07-31,4.9,None,Local,Low,Not required,None,None,Complete,The raw_release function in net/can/raw.c in the Linux kernel before 2.6.39-rc6 does not properly validate a socket data structure,
1334,CVE-2011-1598,476,,DoS,2011-05-09,2020-07-31,4.9,None,Local,Low,Not required,None,None,Complete,The bcm_release function in net/can/bcm.c in the Linux kernel before 2.6.39-rc6 does not properly validate a socket data structure,
1319,CVE-2011-4594,476,,DoS,2012-05-17,2020-07-29,4.9,None,Local,Low,Not required,None,None,Complete,The __sys_sendmsg function in net/socket.c in the Linux kernel before 3.1 allows local users to cause a denial of service (system crash) via crafted use of the sendmmsg system call,
1320,CVE-2011-4081,476,,DoS,2012-05-24,2020-07-29,4.9,None,Local,Low,Not required,None,None,Complete,crypto/ghash-generic.c in the Linux kernel before 3.1 allows local users to cause a denial of service (NULL pointer dereference and OOPS) or possibly have unspecified other impact by triggering a failed or missing ghash_setkey function call,
1316,CVE-2012-1146,476,,DoS,2012-05-17,2020-07-27,4.9,None,Local,Low,Not required,None,None,Complete,The mem_cgroup_usage_unregister_event function in mm/memcontrol.c in the Linux kernel before 3.2.10 does not properly handle multiple events that are attached to the same eventfd,
1321,CVE-2011-3637,476,,DoS,2012-05-17,2020-07-27,4.9,None,Local,Low,Not required,None,None,Complete,The m_stop function in fs/proc/task_mmu.c in the Linux kernel before 2.6.39 allows local users to cause a denial of service (OOPS) via vectors that trigger an m_start error.,
184,CVE-2020-11609,476,,,2020-04-07,2020-06-13,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in the stv06xx subsystem in the Linux kernel before 5.6.1. drivers/media/usb/gspca/stv06xx/stv06xx.c and drivers/media/usb/gspca/stv06xx/stv06xx_pb0100.c mishandle invalid descriptors,
185,CVE-2020-11608,476,,,2020-04-07,2020-06-13,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in the Linux kernel before 5.6.1. drivers/media/usb/gspca/ov519.c allows NULL pointer dereferences in ov511_mode_init_regs and ov518_mode_init_regs when there are zero endpoints,
370,CVE-2019-14075,476,,,2020-04-16,2020-04-22,4.9,None,Local,Low,Not required,None,None,Complete,Null pointer dereference issue in radio interface layer due to lack of null check in sapmodule destructor in Snapdragon Auto,
426,CVE-2019-10616,476,,Exec Code,2020-03-05,2020-03-09,4.9,None,Local,Low,Not required,None,None,Complete,Possibility of null pointer access if the SPDM commands are executed in the non-standard way in TZ. in Snapdragon Auto,
395,CVE-2019-12455,476,,DoS,2019-05-30,2020-02-10,4.9,None,Local,Low,Not required,None,None,Complete,** DISPUTED ** An issue was discovered in sunxi_divs_clk_setup in drivers/clk/sunxi/clk-sunxi.c in the Linux kernel through 5.1.5. There is an unchecked kstrndup of derived_name,
278,CVE-2019-20054,476,,,2019-12-28,2020-02-04,4.9,None,Local,Low,Not required,None,None,Complete,In the Linux kernel before 5.0.6,
754,CVE-2018-5333,476,,,2018-01-11,2020-01-22,4.9,None,Local,Low,Not required,None,None,Complete,In the Linux kernel through 4.14.13,
433,CVE-2019-10513,476,,Exec Code,2019-12-18,2019-12-23,4.9,None,Local,Low,Not required,None,None,Complete,Possibility of Null pointer access if the SPDM commands are executed in the non-standard way in Trustzone in Snapdragon Auto,
352,CVE-2019-15098,476,,,2019-08-16,2019-11-25,4.9,None,Local,Low,Not required,None,None,Complete,drivers/net/wireless/ath/ath6kl/usb.c in the Linux kernel through 5.2.9 has a NULL pointer dereference via an incomplete address in an endpoint descriptor.,
642,CVE-2018-14646,476,,DoS,2018-11-26,2019-10-09,4.9,None,Local,Low,Not required,None,None,Complete,The Linux kernel before 4.15-rc8 was found to be vulnerable to a NULL pointer dereference bug in the __netlink_ns_capable() function in the net/netlink/af_netlink.c file. A local attacker could exploit this when a net namespace with a netnsid is assigned to cause a kernel panic and a denial of service.,
772,CVE-2018-1130,476,,DoS,2018-05-10,2019-10-09,4.9,None,Local,Low,Not required,None,None,Complete,Linux kernel before version 4.16-rc7 is vulnerable to a null pointer dereference in dccp_write_xmit() function in net/dccp/output.c in that allows a local user to cause a denial of service by a number of certain crafted system calls.,
946,CVE-2017-12153,476,,,2017-09-21,2019-10-09,4.9,None,Local,Low,Not required,None,None,Complete,A security flaw was discovered in the nl80211_set_rekey_data() function in net/wireless/nl80211.c in the Linux kernel through 4.13.3. This function does not check whether the required attributes are present in a Netlink request. This request can be issued by a user with the CAP_NET_ADMIN capability and may result in a NULL pointer dereference and system crash.,
333,CVE-2019-15923,476,,,2019-09-04,2019-10-04,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in the Linux kernel before 5.0.9. There is a NULL pointer dereference for a cd data structure if alloc_disk fails in drivers/block/paride/pf.c.,
334,CVE-2019-15922,476,,,2019-09-04,2019-10-04,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in the Linux kernel before 5.0.9. There is a NULL pointer dereference for a pf data structure if alloc_disk fails in drivers/block/paride/pf.c.,
742,CVE-2018-6319,476,,DoS,2018-02-02,2019-10-03,4.9,None,Local,Low,Not required,None,None,Complete,In Sophos Tester Tool 3.2.0.7 Beta,
332,CVE-2019-15924,476,,,2019-09-04,2019-09-14,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in the Linux kernel before 5.0.11. fm10k_init_module in drivers/net/ethernet/intel/fm10k/fm10k_main.c has a NULL pointer dereference because there is no -ENOMEM upon an alloc_workqueue failure.,
340,CVE-2019-15291,476,,,2019-08-20,2019-09-06,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in the Linux kernel through 5.2.9. There is a NULL pointer dereference caused by a malicious USB device in the flexcop_usb_probe function in the drivers/media/usb/b2c2/flexcop-usb.c driver.,
343,CVE-2019-15223,476,,,2019-08-19,2019-09-06,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in the Linux kernel before 5.1.8. There is a NULL pointer dereference caused by a malicious USB device in the sound/usb/line6/driver.c driver.,
344,CVE-2019-15222,476,,,2019-08-19,2019-09-06,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in the Linux kernel before 5.2.8. There is a NULL pointer dereference caused by a malicious USB device in the sound/usb/helper.c (motu_microbookii) driver.,
348,CVE-2019-15217,476,,,2019-08-19,2019-09-06,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in the Linux kernel before 5.2.3. There is a NULL pointer dereference caused by a malicious USB device in the drivers/media/usb/zr364xx/zr364xx.c driver.,
438,CVE-2019-10140,476,,DoS,2019-08-15,2019-09-06,4.9,None,Local,Low,Not required,None,None,Complete,A vulnerability was found in Linux kernel's,
341,CVE-2019-15290,476,,,2019-08-20,2019-09-05,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in the Linux kernel through 5.2.9. There is a NULL pointer dereference caused by a malicious USB device in the ath6kl_usb_alloc_urb_from_pipe function in the drivers/net/wireless/ath/ath6kl/usb.c driver.,
345,CVE-2019-15221,476,,,2019-08-19,2019-09-03,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in the Linux kernel before 5.1.17. There is a NULL pointer dereference caused by a malicious USB device in the sound/usb/line6/pcm.c driver.,
349,CVE-2019-15216,476,,,2019-08-19,2019-09-03,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in the Linux kernel before 5.0.14. There is a NULL pointer dereference caused by a malicious USB device in the drivers/usb/misc/yurex.c driver.,
346,CVE-2019-15219,476,,,2019-08-19,2019-08-22,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in the Linux kernel before 5.1.8. There is a NULL pointer dereference caused by a malicious USB device in the drivers/usb/misc/sisusbvga/sisusb.c driver.,
400,CVE-2019-12381,476,,DoS,2019-05-28,2019-06-20,4.9,None,Local,Low,Not required,None,None,Complete,** DISPUTED ** An issue was discovered in ip_ra_control in net/ipv4/ip_sockglue.c in the Linux kernel through 5.1.5. There is an unchecked kmalloc of new_ra,
399,CVE-2019-12382,476,,DoS,2019-05-28,2019-06-19,4.9,None,Local,Low,Not required,None,None,Complete,** DISPUTED ** An issue was discovered in drm_load_edid_firmware in drivers/gpu/drm/drm_edid_load.c in the Linux kernel through 5.1.5. There is an unchecked kstrdup of fwstr,
454,CVE-2019-9213,476,,,2019-03-05,2019-06-17,4.9,None,Local,Low,Not required,None,None,Complete,In the Linux kernel before 4.20.14,
401,CVE-2019-12378,476,,DoS,2019-05-28,2019-06-10,4.9,None,Local,Low,Not required,None,None,Complete,** DISPUTED ** An issue was discovered in ip6_ra_control in net/ipv6/ipv6_sockglue.c in the Linux kernel through 5.1.5. There is an unchecked kmalloc of new_ra,
703,CVE-2018-9190,476,,DoS,2019-02-08,2019-06-03,4.9,None,Local,Low,Not required,None,None,Complete,A null pointer dereference vulnerability in Fortinet FortiClientWindows 6.0.2 and earlier allows attacker to cause a denial of service via the NDIS miniport driver.,
731,CVE-2018-7191,476,,DoS,2019-05-17,2019-05-31,4.9,None,Local,Low,Not required,None,None,Complete,In the tun subsystem in the Linux kernel before 4.13.14,
723,CVE-2018-7492,476,,,2018-02-26,2019-03-26,4.9,None,Local,Low,Not required,None,None,Complete,A NULL pointer dereference was found in the net/rds/rdma.c __rds_rdma_map() function in the Linux kernel before 4.14.7 allowing local attackers to cause a system panic and a denial-of-service,
560,CVE-2018-19407,476,,DoS,2018-11-21,2019-03-21,4.9,None,Local,Low,Not required,None,None,Complete,The vcpu_scan_ioapic function in arch/x86/kvm/x86.c in the Linux kernel through 4.19.2 allows local users to cause a denial of service (NULL pointer dereference and BUG) via crafted system calls that reach a situation where ioapic is uninitialized.,
1218,CVE-2016-1865,476,,DoS,2016-07-22,2019-03-20,4.9,None,Local,Low,Not required,None,None,Complete,The kernel in Apple iOS before 9.3.3,
798,CVE-2017-18241,476,,DoS,2018-03-21,2019-03-18,4.9,None,Local,Low,Not required,None,None,Complete,fs/f2fs/segment.c in the Linux kernel before 4.13 allows local users to cause a denial of service (NULL pointer dereference and panic) by using a noflush_merge option that triggers a NULL value for a flush_cmd_control data structure.,
463,CVE-2019-8413,476,,,2019-02-17,2019-02-20,4.9,None,Local,Low,Not required,None,None,Complete,On Xiaomi MIX 2 devices with the 4.4.78 kernel,
561,CVE-2018-19406,476,,DoS,2018-11-21,2018-12-19,4.9,None,Local,Low,Not required,None,None,Complete,kvm_pv_send_ipi in arch/x86/kvm/lapic.c in the Linux kernel through 4.19.2 allows local users to cause a denial of service (NULL pointer dereference and BUG) via crafted system calls that reach a situation where the apic map is uninitialized.,
739,CVE-2018-6925,476,,,2018-09-28,2018-11-30,4.9,None,Local,Low,Not required,None,None,Complete,In FreeBSD before 11.2-STABLE(r338986),
604,CVE-2018-17154,476,,DoS,2018-09-28,2018-11-23,4.9,None,Local,Low,Not required,None,None,Complete,In FreeBSD before 11.2-STABLE(r338987),
793,CVE-2017-18301,476,,,2018-09-20,2018-11-23,4.9,None,Local,Low,Not required,None,None,Complete,In Small Cell SoC and Snapdragon (Automobile,
514,CVE-2018-1000200,476,,,2018-06-05,2018-10-31,4.9,None,Local,Low,Not required,None,None,Complete,The Linux Kernel versions 4.14,
720,CVE-2018-7542,476,,DoS,2018-02-27,2018-10-31,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in Xen 4.8.x through 4.10.x allowing x86 PVH guest OS users to cause a denial of service (NULL pointer dereference and hypervisor crash) by leveraging the mishandling of configurations that lack a Local APIC.,
864,CVE-2017-15299,476,,DoS,2017-10-14,2018-10-30,4.9,None,Local,Low,Not required,None,None,Complete,The KEYS subsystem in the Linux kernel through 4.13.7 mishandles use of add_key for a key that already exists but is uninstantiated,
666,CVE-2018-12928,476,,,2018-06-28,2018-08-21,4.9,None,Local,Low,Not required,None,None,Complete,In the Linux kernel 4.15.0,
1253,CVE-2015-8970,476,,DoS,2016-11-28,2018-08-13,4.9,None,Local,Low,Not required,None,None,Complete,crypto/algif_skcipher.c in the Linux kernel before 4.4.2 does not verify that a setkey operation has been performed on an AF_ALG socket before an accept system call is processed,
944,CVE-2017-12193,476,,DoS,2017-11-22,2018-07-13,4.9,None,Local,Low,Not required,None,None,Complete,The assoc_array_insert_into_terminal_node function in lib/assoc_array.c in the Linux kernel before 4.13.11 mishandles node splitting,
708,CVE-2018-8060,476,,,2018-05-10,2018-06-13,4.9,None,Local,Low,Not required,None,None,Complete,HWiNFO AMD64 Kernel driver version 8.98 and lower allows an unprivileged user to send an IOCTL to the device driver. If input and/or output buffer pointers are NULL or if these buffers' data are invalid,
701,CVE-2018-10074,476,,DoS,2018-04-12,2018-05-22,4.9,None,Local,Low,Not required,None,None,Complete,The hi3660_stub_clk_probe function in drivers/clk/hisilicon/clk-hi3660-stub.c in the Linux kernel before 4.16 allows local users to cause a denial of service (NULL pointer dereference) by triggering a failure of resource retrieval.,
705,CVE-2018-9151,476,,,2018-03-30,2018-04-18,4.9,None,Local,Low,Not required,None,None,Complete,A NULL pointer dereference bug in the function ObReferenceObjectByHandle in the Kingsoft Internet Security 9+ kernel driver KWatch3.sys allows local non-privileged users to crash the system via IOCTL 0x80030030.,
870,CVE-2017-15116,476,,DoS,2017-11-30,2018-04-12,4.9,None,Local,Low,Not required,None,None,Complete,The rngapi_reset function in crypto/rng.c in the Linux kernel before 4.2 allows attackers to cause a denial of service (NULL pointer dereference).,
866,CVE-2017-15274,476,,DoS,2017-10-12,2018-03-16,4.9,None,Local,Low,Not required,None,None,Complete,security/keys/keyctl.c in the Linux kernel before 4.11.5 does not consider the case of a NULL payload in conjunction with a nonzero length value,
945,CVE-2017-12192,476,,DoS,2017-10-12,2018-03-16,4.9,None,Local,Low,Not required,None,None,Complete,The keyctl_read_key function in security/keys/keyctl.c in the Key Management subcomponent in the Linux kernel before 4.13.5 does not properly consider that a key may be possessed but negatively instantiated,
1020,CVE-2017-6951,476,,DoS,2017-03-16,2018-01-05,4.9,None,Local,Low,Not required,None,None,Complete,"The keyring_search_aux function in security/keys/keyring.c in the Linux kernel through 3.14.79 allows local users to cause a denial of service (NULL pointer dereference and OOPS) via a request_key system call for the ""dead"" type.",
1101,CVE-2016-10147,476,,DoS,2017-01-18,2018-01-05,4.9,None,Local,Low,Not required,None,None,Complete,crypto/mcryptd.c in the Linux kernel before 4.8.15 allows local users to cause a denial of service (NULL pointer dereference and system crash) by using an AF_ALG socket with an incompatible algorithm,
1151,CVE-2016-8646,476,,DoS,2016-11-28,2018-01-05,4.9,None,Local,Low,Not required,None,None,Complete,The hash_accept function in crypto/algif_hash.c in the Linux kernel before 4.3.6 allows local users to cause a denial of service (OOPS) by attempting to trigger use of in-kernel hash algorithms for a socket that has received zero bytes of data.,
1179,CVE-2016-6327,476,,DoS,2016-10-16,2018-01-05,4.9,None,Local,Low,Not required,None,None,Complete,drivers/infiniband/ulp/srpt/ib_srpt.c in the Linux kernel before 4.5.1 allows local users to cause a denial of service (NULL pointer dereference and system crash) by using an ABORT_TASK command to abort a device write operation.,
906,CVE-2017-14340,476,,DoS,2017-09-15,2017-12-07,4.9,None,Local,Low,Not required,None,None,Complete,The XFS_IS_REALTIME_INODE macro in fs/xfs/xfs_linux.h in the Linux kernel before 4.13.2 does not verify that a filesystem has a realtime device,
907,CVE-2017-14318,476,,,2017-09-12,2017-11-30,4.9,None,Local,Low,Not required,None,None,Complete,An issue was discovered in Xen 4.5.x through 4.9.x. The function `__gnttab_cache_flush` handles GNTTABOP_cache_flush grant table operations. It checks to see if the calling domain is the owner of the page that is to be operated on. If it is not,
863,CVE-2017-15306,476,,DoS,2017-11-06,2017-11-28,4.9,None,Local,Low,Not required,None,None,Complete,The kvm_vm_ioctl_check_extension function in arch/powerpc/kvm/powerpc.c in the Linux kernel before 4.13.11 allows local users to cause a denial of service (NULL pointer dereference and system crash) via a KVM_CHECK_EXTENSION KVM_CAP_PPC_HTM ioctl call to /dev/kvm.,
1156,CVE-2016-7609,476,,DoS,2017-02-20,2017-07-27,4.9,None,Local,Low,Not required,None,None,Complete,"An issue was discovered in certain Apple products. macOS before 10.12.2 is affected. The issue involves the ""AppleGraphicsPowerManagement"" component. It allows local users to cause a denial of service (NULL pointer dereference) via unspecified vectors.",
1158,CVE-2016-7604,476,,DoS,2017-02-20,2017-07-27,4.9,None,Local,Low,Not required,None,None,Complete,"An issue was discovered in certain Apple products. macOS before 10.12.2 is affected. The issue involves the ""CoreCapture"" component. It allows local users to cause a denial of service (NULL pointer dereference) via unspecified vectors.",
1159,CVE-2016-7603,476,,DoS,2017-02-20,2017-07-27,4.9,None,Local,Low,Not required,None,None,Complete,"An issue was discovered in certain Apple products. macOS before 10.12.2 is affected. The issue involves the ""CoreStorage"" component. It allows local users to cause a denial of service (NULL pointer dereference) via unspecified vectors.",
1021,CVE-2017-6899,476,,DoS,2017-06-16,2017-07-05,4.9,None,Local,Low,Not required,None,None,Complete,The msm_bus_dbg_update_request_write function in drivers/platform/msm/msm_bus/msm_bus_dbg.c in android_kernel_huawei_msm8916 through 2017-06-16 in LineageOS,
984,CVE-2017-9211,476,,DoS,2017-05-23,2017-06-08,4.9,None,Local,Low,Not required,None,None,Complete,The crypto_skcipher_init_tfm function in crypto/skcipher.c in the Linux kernel through 4.11.2 relies on a setkey function that lacks a key-size check,
997,CVE-2017-8106,476,,DoS,2017-04-24,2017-05-05,4.9,None,Local,Low,Not required,None,None,Complete,The handle_invept function in arch/x86/kvm/vmx.c in the Linux kernel 3.12 through 3.15 allows privileged KVM guest OS users to cause a denial of service (NULL pointer dereference and host OS crash) via a single-context INVEPT instruction with a NULL EPT pointer.,
1178,CVE-2016-6350,476,,DoS,2017-03-07,2017-03-09,4.9,None,Local,Low,Not required,None,None,Complete,OpenBSD 5.8 and 5.9 allows local users to cause a denial of service (NULL pointer dereference and panic) via a sysctl call with a path starting with 10,
1168,CVE-2016-7118,476,,DoS,2016-08-31,2016-11-28,4.9,None,Local,Low,Not required,None,None,Complete,"fs/fcntl.c in the ""aufs 3.2.x+setfl-debian"" patch in the linux-image package 3.2.0-4 (kernel 3.2.81-1) in Debian wheezy mishandles F_SETFL fcntl calls on directories",
1300,CVE-2014-2678,476,,DoS,2014-04-01,2020-08-28,4.7,None,Local,Medium,Not required,None,None,Complete,The rds_iw_laddr_check function in net/rds/iw.c in the Linux kernel through 3.14 allows local users to cause a denial of service (NULL pointer dereference and system crash) or possibly have unspecified other impact via a bind system call for an RDS socket on a system that lacks RDS transports.,
1304,CVE-2013-7339,476,,DoS,2014-03-24,2020-08-28,4.7,None,Local,Medium,Not required,None,None,Complete,The rds_ib_laddr_check function in net/rds/ib.c in the Linux kernel before 3.12.8 allows local users to cause a denial of service (NULL pointer dereference and system crash) or possibly have unspecified other impact via a bind system call for an RDS socket on a system that lacks RDS transports.,
1360,CVE-2010-1148,476,,DoS,2010-04-12,2020-08-28,4.7,None,Local,Medium,Not required,None,None,Complete,The cifs_create function in fs/cifs/dir.c in the Linux kernel 2.6.33.2 and earlier allows local users to cause a denial of service (NULL pointer dereference and OOPS) or possibly have unspecified other impact via a NULL nameidata (aka nd) field in a POSIX file-creation request to a server that supports UNIX extensions.,
1346,CVE-2010-3849,476,,DoS,2010-12-30,2020-08-14,4.7,None,Local,Medium,Not required,None,None,Complete,The econet_sendmsg function in net/econet/af_econet.c in the Linux kernel before 2.6.36.2,
331,CVE-2019-16089,476,,,2019-09-06,2020-08-04,4.7,None,Local,Medium,Not required,None,None,Complete,An issue was discovered in the Linux kernel through 5.2.13. nbd_genl_status in drivers/block/nbd.c does not check the nla_nest_start_noflag return value.,
323,CVE-2019-16233,476,,,2019-09-11,2020-05-06,4.7,None,Local,Medium,Not required,None,None,Complete,drivers/scsi/qla2xxx/qla_os.c in the Linux kernel 5.2.14 does not check the alloc_workqueue return value,
322,CVE-2019-16234,476,,,2019-09-11,2020-05-05,4.7,None,Local,Medium,Not required,None,None,Complete,drivers/net/wireless/intel/iwlwifi/pcie/trans.c in the Linux kernel 5.2.14 does not check the alloc_workqueue return value,
324,CVE-2019-16232,476,,,2019-09-11,2020-05-04,4.7,None,Local,Medium,Not required,None,None,Complete,drivers/net/wireless/marvell/libertas/if_sdio.c in the Linux kernel 5.2.14 does not check the alloc_workqueue return value,
325,CVE-2019-16231,476,,,2019-09-11,2020-05-04,4.7,None,Local,Medium,Not required,None,None,Complete,drivers/net/fjes/fjes_main.c in the Linux kernel 5.2.14 does not check the alloc_workqueue return value,
326,CVE-2019-16230,476,,,2019-09-11,2020-05-04,4.7,None,Local,Medium,Not required,None,None,Complete,** DISPUTED ** drivers/gpu/drm/radeon/radeon_display.c in the Linux kernel 5.2.14 does not check the alloc_workqueue return value,
327,CVE-2019-16229,476,,,2019-09-11,2020-05-04,4.7,None,Local,Medium,Not required,None,None,Complete,** DISPUTED ** drivers/gpu/drm/amd/amdkfd/kfd_interrupt.c in the Linux kernel 5.2.14 does not check the alloc_workqueue return value,
392,CVE-2019-12614,476,,DoS,2019-06-03,2020-02-25,4.7,None,Local,Medium,Not required,None,None,Complete,An issue was discovered in dlpar_parse_cc_property in arch/powerpc/platforms/pseries/dlpar.c in the Linux kernel through 5.1.6. There is an unchecked kstrdup of prop->name,
777,CVE-2018-1065,476,,DoS,2018-03-02,2018-10-31,4.7,None,Local,Medium,Not required,None,None,Complete,The netfilter subsystem in the Linux kernel through 4.15.7 mishandles the case of a rule blob that contains a jump but lacks a user-defined chain,
